Entity Name,Entity ID,Entity Type,County Name,City,State,Zip,Estimated Population,Class Data,Fiscal Year End,Paper Report Due Date,Electronic Report Due Date
Bellflower,1160,CIT,Los Angeles,Bellflower,CA,90706,78107,General Law,630,131,131
Belmont,1161,CIT,San Mateo,Belmont,CA,94002-3867,27587,General Law,630,131,131
Belvedere,1162,CIT,Marin,Belvedere,CA,94920,2103,General Law,630,131,131
Benicia,1163,CIT,Solano,Benicia,CA,94510,26995,General Law,630,131,131
Berkeley,1164,CIT,Alameda,Berkeley,CA,94704,121269,Chartered,630,131,131
Beverly Hills,1165,CIT,Los Angeles,Beverly Hills,CA,90210,32565,General Law,630,131,131
Big Bear Lake,1166,CIT,San Bernardino,Big Bear Lake,CA,92315,5054,Chartered,630,131,131
Biggs,1167,CIT,Butte,Biggs,CA,95917,1974,General Law,630,131,131
Bishop,1168,CIT,Inyo,Bishop,CA,93514,3868,General Law,630,131,131
Blue Lake,1169,CIT,Humboldt,Blue Lake,CA,95525,1165,General Law,630,131,131
Blythe,1170,CIT,Riverside,Blythe,CA,92225,17470,General Law,630,131,131
Bradbury,1171,CIT,Los Angeles,Bradbury,CA,91008,914,General Law,630,131,131
Brawley,1172,CIT,Imperial,Brawley,CA,92227,26648,General Law,630,131,131
Brea,1173,CIT,Orange,Brea,CA,92821-5732,47097,General Law,630,131,131
Brentwood,1174,CIT,Contra Costa,Brentwood,CA,94513-1396,64224,General Law,630,131,131
Brisbane,1175,CIT,San Mateo,Brisbane,CA,94005,4789,General Law,630,131,131
Buellton,1176,CIT,Santa Barbara,Buellton,CA,93427,5185,General Law,630,131,131
Buena Park,1177,CIT,Orange,Buena Park,CA,90622,83968,Chartered,630,131,131
Burbank,1178,CIT,Los Angeles,Burbank,CA,91502,106268,Chartered,630,131,131
Burlingame,1179,CIT,San Mateo,Burlingame,CA,94010-3997,30699,General Law,630,131,131
Calabasas,1180,CIT,Los Angeles,Calabasas,CA,91302,23151,General Law,630,131,131
Calexico,1181,CIT,Imperial,Calexico,CA,92231,38906,General Law,630,131,131
California City,1182,CIT,Kern,California City,CA,93505,14942,General Law,630,131,131
Calimesa,1183,CIT,Riverside,Calimesa,CA,92320,10544,General Law,630,131,131
Calipatria,1184,CIT,Imperial,Calipatria,CA,92233,6465,General Law,630,131,131
Calistoga,1185,CIT,Napa,Calistoga,CA,94515,5283,General Law,630,131,131
